6800,0.1271,0.2728,4.8525,5.4853,0.8905,0.0158
6900,0.1270,0.4148,4.9004,5.4960,0.9857,0.0147
7000,0.1249,0.2124,4.6104,5.5424,0.7785,0.0149
7100,0.1256,0.2621,4.9023,5.5368,0.7982,0.0139
7200,0.1253,0.2499,4.7246,5.5479,0.7835,0.0137
7300,0.1252,0.2710,4.7520,5.4871,0.8333,0.0135
7400,0.1235,0.2884,4.4277,5.5012,0.8133,0.0133
7500,0.1248,0.2918,4.5537,5.5015,0.8407,0.0133
7600,0.1231,0.3636,4.4355,5.5138,0.8938,0.0142
7700,0.1256,0.2781,4.5459,5.5654,0.9066,0.0146
7800,0.1271,0.3848,4.4932,5.4941,0.9291,0.0140
7900,0.1246,0.2697,4.7500,5.5101,0.7829,0.0130
8000,0.1253,0.2954,4.4453,5.4922,0.8323,0.0134
8100,0.1248,0.2881,4.2451,5.5134,0.8269,0.0128
8200,0.1238,0.3108,4.6416,5.5153,0.8650,0.0127
8300,0.1224,0.4316,4.3574,5.5748,0.9015,0.0132
8400,0.1266,0.2822,4.3037,5.5401,0.8642,0.0128
8500,0.1239,0.2874,4.3662,5.5210,0.8586,0.0134
8600,0.1216,0.2351,4.3574,5.5031,0.7339,0.0128
8700,0.1238,0.2958,4.5830,5.4894,0.7878,0.0111
8800,0.1234,0.3191,4.2500,5.5064,0.7790,0.0130
8900,0.1244,0.2498,4.3057,5.4935,0.7516,0.0144
9000,0.1238,0.2670,4.4258,5.4876,0.7899,0.0118
9100,0.1226,0.3045,4.2539,5.5654,0.8254,0.0128
9200,0.1232,0.2951,4.3086,5.5122,0.8524,0.0126
9300,0.1246,0.3064,4.3047,5.5178,0.7938,0.0144
9400,0.1225,0.3196,4.2080,5.5402,0.7987,0.0140
9500,0.1212,0.3101,4.3516,5.5180,0.7139,0.0125
9600,0.1230,0.3029,4.3896,5.4938,0.7768,0.0128
9700,0.1244,0.3558,4.3086,5.5390,0.8512,0.0114
9800,0.1232,0.2946,4.4736,5.4950,0.7951,0.0125
9900,0.1216,0.3019,4.2109,5.5039,0.7653,0.0124
10000,0.1220,0.2315,4.0146,5.5176,0.7199,0.0120
10100,0.1229,0.3196,3.9219,5.5110,0.8136,0.0137
10200,0.1253,0.3236,4.3262,5.5243,0.8470,0.0117
10300,0.1238,0.3073,4.3516,5.5323,0.7918,0.0138
10400,0.1238,0.2603,4.1475,5.4943,0.7605,0.0133
